Datum;Ort;Gegner
03.11.2017;Gast;E. Frankfurt
19.11.2017;Heim;Hannover 96
25.11.2017;Gast;RB Leipzig
02.12.2017;Heim;VfB Stuttgart
09.12.2017;Gast;Bor. Dortmund
12.12.2017;Gast;Bay. Leverkusen
16.12.2017;Heim;1.FSV Mainz 05
13.01.2018;Heim;TSG Hoffenheim
20.01.2018;Gast;Bayern München
27.01.2018;Heim;Hertha BSC
03.02.2018;Gast;FC Schalke 04
10.02.2018;Heim;VfL Wolfsburg
17.02.2018;Gast;SC Freiburg
24.02.2018;Heim;Hamburger SV
03.03.2018;Gast;Bor. M'gladbach
10.03.2018;Heim;1.FC Köln
17.03.2018;Gast;FC Augsburg
31.03.2018;Heim;E. Frankfurt
07.04.2018;Gast;Hannover 96
14.04.2018;Heim;RB Leipzig
21.04.2018;Gast;VfB Stuttgart
28.04.2018;Heim;Bor. Dortmund
05.05.2018;Heim;Bay. Leverkusen
12.05.2018;Gast;1.FSV Mainz 05
